date,region,category,customer,product,quantity,price,total
2026-03-09,Ege,Mobilya,Mercan Turizm,Toplantı Masası,3,14500,43500
2026-03-12,İç Anadolu,Yazılım,Lale Tekstil,CRM Yıllık Lisansı,5,16800,84000
2026-03-20,Ege,Yazılım,Mercan Turizm,CRM Yıllık Lisansı,3,16800,50400
2026-03-23,Marmara,Ofis,Eksen Yazılım,Ergonomik Sandalye,4,4600,18400
2026-04-06,Akdeniz,Elektronik,Mercan Turizm,Dizüstü Bilgisayar,5,34500,172500
2026-04-08,Karadeniz,Ofis,Mavi Lojistik,Ergonomik Sandalye,4,4600,18400
2026-04-09,İç Anadolu,Elektronik,Lale Tekstil,Dizüstü Bilgisayar,5,34500,172500
2026-04-14,İç Anadolu,Giyim,Mavi Lojistik,Kurumsal Mont,4,2450,9800
2026-04-17,Güneydoğu Anadolu,Ofis,Anka Teknoloji,Çalışma Masası,4,6900,27600
2026-04-19,Ege,Giyim,Anka Teknoloji,Kurumsal Mont,2,2450,4900
2026-05-06,Marmara,Elektronik,Lale Tekstil,Monitör,3,7800,23400
2026-05-08,Ege,Ofis,Anka Teknoloji,Çalışma Masası,5,6900,34500
2026-05-10,İç Anadolu,Giyim,Anka Teknoloji,İş Güvenliği Seti,2,1950,3900
2026-05-11,Güneydoğu Anadolu,Giyim,Atlas Holding,Kurumsal Mont,4,2450,9800
2026-05-19,Marmara,Elektronik,Atlas Holding,Monitör,5,7800,39000
2026-05-25,Ege,Ofis,Mercan Turizm,Ergonomik Sandalye,1,4600,4600
2026-06-02,Marmara,Mobilya,Rota Otomotiv,Toplantı Masası,4,13920,55680
2026-06-10,İç Anadolu,Ofis,Lale Tekstil,Ergonomik Sandalye,5,4416,22080
2026-06-10,Marmara,Elektronik,Lale Tekstil,Monitör,2,7488,14976
2026-06-13,Akdeniz,Elektronik,Pera Danışmanlık,Monitör,4,7488,29952
2026-06-13,Ege,Yazılım,Atlas Holding,CRM Yıllık Lisansı,5,16128,80640
2026-06-25,Marmara,Elektronik,Eksen Yazılım,Dizüstü Bilgisayar,2,33120,66240
